match_id,season,match_date,team1,team2,venue,city,toss_winner,toss_decision,toss_winner_won,toss_decision_encoded,team1_win_rate,team2_win_rate,win_rate_diff,winner,result,target,team1_recent_form,team2_recent_form,form_diff,team1_h2h_wins,team1_venue_win_rate,team2_venue_win_rate,venue_win_rate_diff
335982,2007/08,2008/04/18,Royal Challengers Bengaluru,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,field,0,1,0.49,0.51,-0.02,Kolkata Knight Riders,normal,0,,,,73,0.46,0.55,-0.09000000000000002
335983,2007/08,2008/04/19,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Chennai Super Kings,bat,1,0,0.45,0.56,-0.11,Chennai Super Kings,normal,0,,,,59,0.51,0.75,-0.24
335984,2007/08,2008/04/19,Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,Delhi,Rajasthan Royals,bat,0,0,0.44,0.49,-0.0499999999999999,Delhi Capitals,normal,1,,,,60,0.41,0.57,-0.15999999999999998
335986,2007/08,2008/04/20,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Kolkata,Sunrisers Hyderabad,bat,0,0,0.51,0.45,0.06,Kolkata Knight Riders,normal,1,1.0,,,67,0.61,0.18,0.43
335985,2007/08,2008/04/20,Mumbai Indians,Royal Challengers Bengaluru,Wankhede Stadium,Mumbai,Mumbai Indians,bat,0,0,0.55,0.49,0.06,Royal Challengers Bengaluru,normal,0,,0.0,,74,0.61,0.3,0.31
335987,2007/08,2008/04/21,Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,Jaipur,Punjab Kings,bat,0,0,0.49,0.45,0.0399999999999999,Rajasthan Royals,normal,1,0.0,0.0,0.0,57,0.68,0.17,0.51
335988,2007/08,2008/04/22,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,0,0,0.45,0.44,0.01,Delhi Capitals,normal,0,0.0,1.0,-1.0,60,0.46,0.67,-0.21000000000000002
335989,2007/08,2008/04/23,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,Mumbai Indians,field,0,1,0.56,0.55,0.01,Chennai Super Kings,normal,1,1.0,0.0,1.0,76,0.7,0.5,0.19999999999999996
335990,2007/08,2008/04/24,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rajasthan Royals,field,1,1,0.45,0.49,-0.0399999999999999,Rajasthan Royals,normal,0,0.0,1.0,-1.0,60,0.46,0.5,-0.03999999999999998
335991,2007/08,2008/04/25,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,field,0,1,0.45,0.55,-0.1,Punjab Kings,normal,1,0.0,0.0,0.0,59,0.51,0.5,0.010000000000000009
335993,2007/08,2008/04/26,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,Kolkata Knight Riders,bat,0,0,0.56,0.51,0.05,Chennai Super Kings,normal,1,2.0,2.0,0.0,76,0.7,0.29,0.41
335992,2007/08,2008/04/26,Royal Challengers Bengaluru,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,field,1,1,0.49,0.49,0.0,Rajasthan Royals,normal,0,1.0,2.0,-1.0,73,0.46,0.5,-0.03999999999999998
335994,2007/08,2008/04/27,Mumbai Indians,Sunrisers Hyderabad,Dr DY Patil Sports Academy,Mumbai,Sunrisers Hyderabad,field,1,1,0.55,0.45,0.1,Sunrisers Hyderabad,normal,0,0.0,0.0,0.0,74,0.71,0.33,0.37999999999999995
335995,2007/08,2008/04/27,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Delhi Capitals,bat,0,0,0.45,0.44,0.01,Punjab Kings,normal,1,1.0,2.0,-1.0,59,0.51,0.33,0.18
335996,2007/08,2008/04/28,Royal Challengers Bengaluru,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,bat,1,0,0.49,0.56,-0.07,Chennai Super Kings,normal,0,1.0,3.0,-2.0,73,0.46,0.57,-0.10999999999999993
335997,2007/08,2008/04/29,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,0,0,0.51,0.55,-0.04,Mumbai Indians,normal,0,2.0,0.0,2.0,67,0.61,0.77,-0.16000000000000003
335998,2007/08,2008/04/30,Delhi Capitals,Royal Challengers Bengaluru,Feroz Shah Kotla,Delhi,Royal Challengers Bengaluru,field,0,1,0.44,0.49,-0.0499999999999999,Delhi Capitals,normal,1,2.0,1.0,1.0,60,0.41,0.71,-0.3
335999,2007/08,2008/05/01,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Punjab Kings,field,1,1,0.45,0.45,0.0,Punjab Kings,normal,0,1.0,2.0,-1.0,60,0.46,0.5,-0.03999999999999998
336000,2007/08,2008/05/01,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,1,0,0.49,0.51,-0.02,Rajasthan Royals,normal,1,3.0,2.0,1.0,57,0.68,0.5,0.18000000000000005
336001,2007/08,2008/05/02,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,0,0,0.56,0.44,0.12,Delhi Capitals,normal,0,4.0,3.0,1.0,76,0.7,0.29,0.41
336034,2007/08,2008/05/03,Royal Challengers Bengaluru,Sunrisers Hyderabad,M Chinnaswamy Stadium,Bangalore,Sunrisers Hyderabad,field,0,1,0.49,0.45,0.0399999999999999,Royal Challengers Bengaluru,normal,1,1.0,1.0,0.0,73,0.46,0.33,0.13
336003,2007/08,2008/05/03,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,bat,1,0,0.45,0.51,-0.06,Punjab Kings,normal,1,3.0,2.0,1.0,59,0.51,0.5,0.010000000000000009
336004,2007/08,2008/05/04,Mumbai Indians,Delhi Capitals,Dr DY Patil Sports Academy,Mumbai,Delhi Capitals,field,0,1,0.55,0.44,0.11,Mumbai Indians,normal,1,1.0,4.0,-3.0,74,0.71,0.5,0.20999999999999996
336005,2007/08,2008/05/04,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Jaipur,Chennai Super Kings,bat,0,0,0.49,0.56,-0.07,Rajasthan Royals,normal,1,4.0,4.0,0.0,57,0.68,0.5,0.18000000000000005
336006,2007/08,2008/05/05,Royal Challengers Bengaluru,Punjab Kings,M Chinnaswamy Stadium,Bangalore,Punjab Kings,field,1,1,0.49,0.45,0.0399999999999999,Punjab Kings,normal,0,2.0,4.0,-2.0,73,0.46,0.5,-0.03999999999999998
336007,2007/08,2008/05/06,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",Chennai,Sunrisers Hyderabad,field,1,1,0.56,0.45,0.11,Sunrisers Hyderabad,normal,0,3.0,1.0,2.0,76,0.7,0.33,0.36999999999999994
336008,2007/08,2008/05/07,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,field,1,1,0.55,0.49,0.06,Mumbai Indians,normal,1,2.0,5.0,-3.0,74,0.71,0.5,0.20999999999999996
336010,2007/08,2008/05/08,Kolkata Knight Riders,Royal Challengers Bengaluru,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,1,0,0.51,0.49,0.02,Kolkata Knight Riders,normal,1,1.0,1.0,0.0,67,0.61,0.4,0.20999999999999996
336009,2007/08,2008/05/08,Delhi Capitals,Chennai Super Kings,Feroz Shah Kotla,Delhi,Chennai Super Kings,field,1,1,0.44,0.56,-0.12,Chennai Super Kings,normal,0,3.0,2.0,1.0,60,0.41,0.83,-0.42
336011,2007/08,2008/05/09,Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,1,1,0.49,0.45,0.0399999999999999,Rajasthan Royals,normal,1,4.0,2.0,2.0,57,0.68,0.2,0.48000000000000004
336013,2007/08,2008/05/10,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk",Chennai,Punjab Kings,field,0,1,0.56,0.45,0.11,Chennai Super Kings,normal,1,2.0,5.0,-3.0,76,0.7,0.2,0.49999999999999994
336014,2007/08,2008/05/11,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kolkata Knight Riders,bat,1,0,0.45,0.51,-0.06,Kolkata Knight Riders,normal,0,2.0,1.0,1.0,60,0.46,0.67,-0.21000000000000002
336015,2007/08,2008/05/11,Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,1,1,0.49,0.44,0.0499999999999999,Rajasthan Royals,normal,1,4.0,2.0,2.0,57,0.68,0.33,0.35000000000000003
336016,2007/08,2008/05/12,Punjab Kings,Royal Challengers Bengaluru,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Royal Challengers Bengaluru,bat,0,0,0.45,0.49,-0.0399999999999999,Punjab Kings,normal,1,4.0,1.0,3.0,59,0.51,0.4,0.10999999999999999
336017,2007/08,2008/05/13,Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,1,0,0.51,0.44,0.07,Kolkata Knight Riders,normal,1,2.0,2.0,0.0,67,0.61,0.22,0.39
336018,2007/08,2008/05/14,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai,Mumbai Indians,field,1,1,0.55,0.56,-0.01,Mumbai Indians,normal,1,3.0,2.0,1.0,74,0.61,0.5,0.10999999999999999
336020,2007/08,2008/05/15,Delhi Capitals,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,Sunrisers Hyderabad,field,0,1,0.44,0.45,-0.01,Delhi Capitals,normal,1,1.0,1.0,0.0,60,0.41,0.6,-0.19
336021,2007/08,2008/05/16,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai,Mumbai Indians,field,1,1,0.55,0.51,0.04,Mumbai Indians,normal,1,4.0,3.0,1.0,74,0.61,0.11,0.5
336023,2007/08,2008/05/17,Rajasthan Royals,Royal Challengers Bengaluru,Sawai Mansingh Stadium,Jaipur,Royal Challengers Bengaluru,field,0,1,0.49,0.49,0.0,Rajasthan Royals,normal,1,4.0,1.0,3.0,57,0.68,0.43,0.25000000000000006
336022,2007/08,2008/05/17,Delhi Capitals,Punjab Kings,Feroz Shah Kotla,Delhi,Delhi Capitals,bat,0,0,0.44,0.45,-0.01,Punjab Kings,normal,0,1.0,4.0,-3.0,60,0.41,0.44,-0.030000000000000027
336025,2007/08,2008/05/18,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,0,0,0.51,0.56,-0.05,Chennai Super Kings,normal,0,3.0,2.0,1.0,67,0.61,0.45,0.15999999999999998
336024,2007/08,2008/05/18,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,0,1,0.45,0.55,-0.1,Mumbai Indians,normal,0,1.0,5.0,-4.0,60,0.46,0.62,-0.15999999999999998
336026,2007/08,2008/05/19,Royal Challengers Bengaluru,Delhi Capitals,M Chinnaswamy Stadium,Bangalore,Delhi Capitals,field,1,1,0.49,0.44,0.0499999999999999,Delhi Capitals,normal,0,1.0,1.0,0.0,73,0.46,0.43,0.030000000000000027
336027,2007/08,2008/05/20,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata,Rajasthan Royals,field,1,1,0.51,0.49,0.02,Rajasthan Royals,normal,0,3.0,4.0,-1.0,67,0.61,0.22,0.39
336028,2007/08,2008/05/21,Mumbai Indians,Punjab Kings,Wankhede Stadium,Mumbai,Mumbai Indians,field,0,1,0.55,0.45,0.1,Punjab Kings,normal,0,5.0,4.0,1.0,74,0.61,0.45,0.15999999999999998
336029,2007/08,2008/05/21,Chennai Super Kings,Royal Challengers Bengaluru,"MA Chidambaram Stadium, Chepauk",Chennai,Royal Challengers Bengaluru,bat,1,0,0.56,0.49,0.07,Royal Challengers Bengaluru,normal,0,3.0,0.0,3.0,76,0.7,0.25,0.44999999999999996
336031,2007/08,2008/05/23,Punjab Kings,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Punjab Kings,field,1,1,0.45,0.45,0.0,Punjab Kings,normal,1,4.0,1.0,3.0,59,0.51,0.5,0.010000000000000009
336032,2007/08,2008/05/24,Delhi Capitals,Mumbai Indians,Feroz Shah Kotla,Delhi,Delhi Capitals,field,1,1,0.44,0.55,-0.11,Delhi Capitals,normal,1,2.0,4.0,-2.0,60,0.41,0.33,0.07999999999999996
336033,2007/08,2008/05/24,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai,Rajasthan Royals,bat,1,0,0.56,0.49,0.07,Rajasthan Royals,normal,0,3.0,4.0,-1.0,76,0.7,0.17,0.5299999999999999
336002,2007/08,2008/05/25,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,0,0,0.45,0.49,-0.0399999999999999,Royal Challengers Bengaluru,normal,0,0.0,1.0,-1.0,60,0.46,0.25,0.21000000000000002
336035,2007/08,2008/05/25,Kolkata Knight Riders,Punjab Kings,Eden Gardens,Kolkata,Punjab Kings,bat,0,0,0.51,0.45,0.06,Kolkata Knight Riders,normal,1,2.0,4.0,-2.0,67,0.61,0.27,0.33999999999999997
336036,2007/08,2008/05/26,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,1,1,0.49,0.55,-0.06,Rajasthan Royals,normal,1,5.0,3.0,2.0,57,0.68,0.29,0.39000000000000007
336037,2007/08,2008/05/27,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,0,0,0.45,0.56,-0.11,Chennai Super Kings,normal,0,0.0,2.0,-2.0,60,0.46,0.67,-0.21000000000000002
336019,2007/08,2008/05/28,Punjab Kings,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Rajasthan Royals,field,0,1,0.45,0.49,-0.0399999999999999,Punjab Kings,normal,1,4.0,5.0,-1.0,59,0.51,0.5,0.010000000000000009
